Date : 2024-05-26 22:47:51
Directory : s:\Unity\Projects\FarmGamePrototype
Total : 118 files,  10118 codes, 3370 comments, 2388 blanks, all 15876 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| C#                      |         86 |      6,321 |      3,242 |      1,583 |     11,146 |
| UnityShader             |         22 |      3,050 |        128 |        801 |      3,979 |
| JSON                    |          5 |        678 |          0 |          4 |        682 |
| UnityAssemblyDefinition |          4 |         68 |          0 |          0 |         68 |
| Markdown                |          1 |          1 |          0 |          0 |          1 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |        118 |     10,118 |      3,370 |      2,388 |     15,876 |
| . (Files)                                                                                                                       |          8 |        780 |      3,041 |        723 |      4,544 |
| Assets                                                                                                                          |        108 |      8,817 |        329 |      1,663 |     10,809 |
| Assets\App                                                                                                                      |         86 |      5,800 |        218 |        905 |      6,923 |
| Assets\App\Assets                                                                                                               |         15 |      1,627 |        108 |        239 |      1,974 |
| Assets\App\Assets\PolygonDog                                                                                                    |          3 |        787 |         36 |          3 |        826 |
| Assets\App\Assets\PolygonDog\Scripts                                                                                            |          3 |        787 |         36 |          3 |        826 |
| Assets\App\Assets\QuickOutline                                                                                                  |          2 |         80 |         14 |         22 |        116 |
| Assets\App\Assets\QuickOutline\Resources                                                                                        |          2 |         80 |         14 |         22 |        116 |
| Assets\App\Assets\QuickOutline\Resources\Shaders                                                                                |          2 |         80 |         14 |         22 |        116 |
| Assets\App\Assets\StarterAssets                                                                                                 |         10 |        760 |         58 |        214 |      1,032 |
| Assets\App\Assets\StarterAssets\InputSystem                                                                                     |          1 |         65 |          0 |         15 |         80 |
| Assets\App\Assets\StarterAssets\Mobile                                                                                          |          5 |        259 |          9 |         83 |        351 |
| Assets\App\Assets\StarterAssets\Mobile\Scripts                                                                                  |          5 |        259 |          9 |         83 |        351 |
| Assets\App\Assets\StarterAssets\Mobile\Scripts\CanvasInputs                                                                     |          1 |         25 |          0 |          9 |         34 |
| Assets\App\Assets\StarterAssets\Mobile\Scripts\Utilities                                                                        |          1 |         19 |          8 |          9 |         36 |
| Assets\App\Assets\StarterAssets\Mobile\Scripts\VirtualInputs                                                                    |          3 |        215 |          1 |         65 |        281 |
| Assets\App\Assets\StarterAssets\ThirdPersonController                                                                           |          2 |        298 |         48 |         81 |        427 |
| Assets\App\Assets\StarterAssets\ThirdPersonController\Scripts                                                                   |          2 |        298 |         48 |         81 |        427 |
| Assets\App\Assets\StarterAssets\TutorialInfo                                                                                    |          2 |        138 |          1 |         35 |        174 |
| Assets\App\Assets\StarterAssets\TutorialInfo\Scripts                                                                            |          2 |        138 |          1 |         35 |        174 |
| Assets\App\Assets\StarterAssets\TutorialInfo\Scripts (Files)                                                                    |          1 |         12 |          0 |          3 |         15 |
| Assets\App\Assets\StarterAssets\TutorialInfo\Scripts\Editor                                                                     |          1 |        126 |          1 |         32 |        159 |
| Assets\App\Materials                                                                                                            |          1 |        110 |          3 |         23 |        136 |
| Assets\App\Scripts                                                                                                              |         70 |      4,063 |        107 |        643 |      4,813 |
| Assets\App\Scripts (Files)                                                                                                      |          1 |        113 |          0 |         14 |        127 |
| Assets\App\Scripts\CraftSystem                                                                                                  |          7 |        197 |          6 |         32 |        235 |
| Assets\App\Scripts\CraftSystem (Files)                                                                                          |          6 |        151 |          0 |         23 |        174 |
| Assets\App\Scripts\CraftSystem\Editor                                                                                           |          1 |         46 |          6 |          9 |         61 |
| Assets\App\Scripts\FarmingSystem                                                                                                |          3 |        267 |          0 |         51 |        318 |
| Assets\App\Scripts\GameMenu                                                                                                     |          2 |        101 |          0 |         17 |        118 |
| Assets\App\Scripts\General                                                                                                      |         19 |      1,248 |         19 |        150 |      1,417 |
| Assets\App\Scripts\General (Files)                                                                                              |          1 |         54 |          0 |          8 |         62 |
| Assets\App\Scripts\General\Base                                                                                                 |         16 |      1,138 |         19 |        132 |      1,289 |
| Assets\App\Scripts\General\Base (Files)                                                                                         |         12 |        357 |          5 |         60 |        422 |
| Assets\App\Scripts\General\Base\Input                                                                                           |          2 |        670 |         14 |         52 |        736 |
| Assets\App\Scripts\General\Base\WindowsSystem                                                                                   |          2 |        111 |          0 |         20 |        131 |
| Assets\App\Scripts\General\Concrete                                                                                             |          2 |         56 |          0 |         10 |         66 |
| Assets\App\Scripts\General\Concrete\WindowsSystem                                                                               |          2 |         56 |          0 |         10 |         66 |
| Assets\App\Scripts\InteractionSystem                                                                                            |          8 |        398 |         39 |        110 |        547 |
| Assets\App\Scripts\InteractionSystem (Files)                                                                                    |          3 |        157 |          0 |         24 |        181 |
| Assets\App\Scripts\InteractionSystem\Base                                                                                       |          5 |        241 |         39 |         86 |        366 |
| Assets\App\Scripts\InventoryAndItems                                                                                            |         19 |        986 |          8 |        146 |      1,140 |
| Assets\App\Scripts\InventoryAndItems (Files)                                                                                    |          2 |         56 |          0 |         12 |         68 |
| Assets\App\Scripts\InventoryAndItems\Base                                                                                       |         12 |        626 |          2 |         89 |        717 |
| Assets\App\Scripts\InventoryAndItems\Base (Files)                                                                               |          1 |         17 |          0 |          0 |         17 |
| Assets\App\Scripts\InventoryAndItems\Base\Controller                                                                            |          1 |        145 |          0 |         21 |        166 |
| Assets\App\Scripts\InventoryAndItems\Base\Interfaces                                                                            |          1 |          7 |          0 |          4 |         11 |
| Assets\App\Scripts\InventoryAndItems\Base\Model                                                                                 |          5 |        264 |          2 |         32 |        298 |
| Assets\App\Scripts\InventoryAndItems\Base\Model (Files)                                                                         |          3 |        218 |          2 |         23 |        243 |
| Assets\App\Scripts\InventoryAndItems\Base\Model\Items                                                                           |          2 |         46 |          0 |          9 |         55 |
| Assets\App\Scripts\InventoryAndItems\Base\UI                                                                                    |          4 |        193 |          0 |         32 |        225 |
| Assets\App\Scripts\InventoryAndItems\Concrete                                                                                   |          5 |        304 |          6 |         45 |        355 |
| Assets\App\Scripts\InventoryAndItems\Concrete\Controllers                                                                       |          2 |        157 |          0 |         23 |        180 |
| Assets\App\Scripts\InventoryAndItems\Concrete\Model                                                                             |          3 |        147 |          6 |         22 |        175 |
| Assets\App\Scripts\InventoryAndItems\Concrete\Model\Items                                                                       |          3 |        147 |          6 |         22 |        175 |
| Assets\App\Scripts\Pets                                                                                                         |          1 |         58 |          0 |         13 |         71 |
| Assets\App\Scripts\Pets\Dog                                                                                                     |          1 |         58 |          0 |         13 |         71 |
| Assets\App\Scripts\Player                                                                                                       |          3 |        198 |         33 |         37 |        268 |
| Assets\App\Scripts\Time                                                                                                         |          7 |        497 |          2 |         73 |        572 |
| Assets\Resources                                                                                                                |          2 |          2 |          0 |          0 |          2 |
| Assets\TextMesh Pro                                                                                                             |         20 |      3,015 |        111 |        758 |      3,884 |
| Assets\TextMesh Pro\Shaders                                                                                                     |         19 |      2,860 |        111 |        756 |      3,727 |
| Assets\TextMesh Pro\Sprites                                                                                                     |          1 |        155 |          0 |          2 |        157 |
| Packages                                                                                                                        |          2 |        521 |          0 |          2 |        523 |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| filename                                                                                                                        | language                | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Assets\PolygonDog\Scripts\POLYGON_CameraController.cs                            | C#                      |         43 |         13 |          0 |         56 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Assets\PolygonDog\Scripts\POLYGON_DogAnimationController.cs                      | C#                      |        461 |         10 |          2 |        473 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Assets\PolygonDog\Scripts\POLYGON_DogPrefabs.cs                                  | C#                      |        283 |         13 |          1 |        297 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Assets\QuickOutline\Resources\Shaders\OutlineFill.shader                         | UnityShader             |         58 |          7 |         17 |         82 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Assets\QuickOutline\Resources\Shaders\OutlineMask.shader                         | UnityShader             |         22 |          7 |          5 |         34 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Assets\StarterAssets\InputSystem\StarterAssetsInputs.cs                          | C#                      |         65 |          0 |         15 |         80 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Assets\StarterAssets\Mobile\Scripts\CanvasInputs\UICanvasControllerInput.cs      | C#                      |         25 |          0 |          9 |         34 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Assets\StarterAssets\Mobile\Scripts\Utilities\MobileDisableAutoSwitchControls.cs | C#                      |         19 |          8 |          9 |         36 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Assets\StarterAssets\Mobile\Scripts\VirtualInputs\UIVirtualButton.cs             | C#                      |         33 |          0 |          9 |         42 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Assets\StarterAssets\Mobile\Scripts\VirtualInputs\UIVirtualJoystick.cs           | C#                      |         87 |          0 |         26 |        113 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Assets\StarterAssets\Mobile\Scripts\VirtualInputs\UIVirtualTouchZone.cs          | C#                      |         95 |          1 |         30 |        126 |
